WsWaIdx,DateHrGmt,DateHrLwt,FcastHr,Tsfc_F,Tdew_F,Twet_F,Rh_PCT,Psfc_MB,CldCov_PCT,Twc_F,Tapp_F,Spd_KTS,Dir_DEG,PcpPrevHr_IN,DnSol_WsqM,DiffHorz_WsqM,DirNormIr_WsqM,Spd_MPH
39899,2014-08-03-12,2014-08-03-06,0,71.6,60.7,64.5,69,998.5,2,71.6,76.2,6,250,0.00,60,53,55,7
39899,2014-08-03-13,2014-08-03-07,0,75.2,62.5,66.6,65,998.9,2,75.2,78.0,7,230,0.00,227,132,313,8
39899,2014-08-03-14,2014-08-03-08,0,78.8,64.4,68.7,61,998.9,10,78.8,81.1,7,210,0.00,409,110,622,8
39899,2014-08-03-15,2014-08-03-09,0,82.4,64.4,70.0,55,998.5,21,82.4,84.5,6,250,0.00,579,166,645,7
39899,2014-08-03-16,2014-08-03-10,0,84.2,64.4,70.2,51,998.5,7,84.2,86.4,5,270,0.00,741,194,711,6
39899,2014-08-03-17,2014-08-03-11,0,86.0,62.7,70.0,46,997.2,0,86.0,87.6,4,280,0.00,844,204,744,5
39899,2014-08-03-18,2014-08-03-12,0,86.0,62.7,70.0,46,996.9,1,86.0,87.6,2,250,0.00,902,206,768,2
39899,2014-08-03-19,2014-08-03-13,0,86.5,75.0,77.4,69,996.2,0,86.5,95.7,9,250,0.00,898,205,767,10
39899,2014-08-03-20,2014-08-03-14,0,87.2,75.5,77.1,68,995.9,6,87.2,97.1,3,60,0.00,840,200,751,3
39899,2014-08-03-21,2014-08-03-15,0,82.4,62.6,68.7,51,995.9,88,82.4,83.9,1,100,0.00,381,322,79,1
39899,2014-08-03-22,2014-08-03-16,0,82.4,62.6,68.7,51,995.9,98,82.4,83.9,2,120,0.00,200,193,10,2
39899,2014-08-03-23,2014-08-03-17,0,82.4,62.6,68.7,51,995.9,92,82.4,83.9,3,100,0.00,200,177,51,3
39899,2014-08-04-00,2014-08-03-18,0,78.8,62.6,67.8,58,995.9,45,78.8,80.7,2,110,0.00,195,100,335,2
39899,2014-08-04-01,2014-08-03-19,0,77.0,64.4,68.2,65,996.2,1,77.0,79.5,8,160,0.00,61,48,130,9
39899,2014-08-04-02,2014-08-03-20,0,75.2,64.3,67.7,69,996.2,0,75.2,78.2,9,180,0.00,0,0,0,10
39899,2014-08-04-03,2014-08-03-21,0,75.2,64.3,67.7,69,996.5,0,75.2,78.2,10,200,0.00,0,0,0,12
39899,2014-08-04-04,2014-08-03-22,0,73.4,64.3,67.1,73,996.5,0,73.4,77.0,9,220,0.00,0,0,0,10
39899,2014-08-04-05,2014-08-03-23,0,73.4,62.5,66.1,69,996.5,0,73.4,77.0,9,210,0.00,0,0,0,10
39899,2014-08-04-06,2014-08-04-00,0,71.6,62.5,65.4,73,996.5,0,71.6,76.2,9,250,0.00,0,0,0,10
39899,2014-08-04-07,2014-08-04-01,0,71.6,64.3,66.6,78,996.2,24,71.6,76.1,8,220,0.00,0,0,0,9
39899,2014-08-04-08,2014-08-04-02,0,69.8,64.3,66.1,83,996.5,56,69.8,69.8,9,240,0.00,0,0,0,10
39899,2014-08-04-09,2014-08-04-03,0,69.8,64.3,66.1,83,996.5,73,69.8,69.8,10,240,0.00,0,0,0,12
39899,2014-08-04-10,2014-08-04-04,0,69.8,64.3,66.1,83,996.5,83,69.8,69.8,9,260,0.00,0,0,0,10
39899,2014-08-04-11,2014-08-04-05,0,69.8,64.3,66.1,83,996.9,89,69.8,69.8,9,250,0.00,0,0,0,10
39899,2014-08-04-12,2014-08-04-06,0,75.2,64.3,67.7,69,997.2,89,75.2,78.2,8,260,0.00,48,37,94,9
39899,2014-08-04-13,2014-08-04-07,0,78.8,64.4,68.7,61,997.5,88,78.8,81.1,4,260,0.00,192,135,190,5
39899,2014-08-04-14,2014-08-04-08,0,80.6,64.4,69.4,58,997.5,100,80.6,82.7,3,290,0.00,372,151,462,3
39899,2014-08-04-15,2014-08-04-09,0,82.4,64.4,70.0,55,997.5,97,82.4,84.5,2,270,0.00,499,256,380,2
39899,2014-08-04-16,2014-08-04-10,0,82.4,64.4,70.0,55,996.9,98,82.4,84.5,2,260,0.00,655,263,511,2
39899,2014-08-04-17,2014-08-04-11,0,84.2,62.6,69.2,48,996.2,91,84.2,85.7,2,240,0.00,775,292,563,2
39899,2014-08-04-18,2014-08-04-12,0,84.2,64.4,70.2,51,995.5,95,84.2,86.4,3,240,0.00,846,330,572,3
39899,2014-08-04-19,2014-08-04-13,0,86.0,60.9,68.9,43,995.5,84,86.0,86.9,3,240,0.00,861,301,622,3
39899,2014-08-04-20,2014-08-04-14,0,86.0,60.9,68.9,43,994.6,79,86.0,86.9,8,240,0.08,817,258,658,9
